country,continent,development,population,roads,size,osmdistancekm,osmdistancemiles,coverage,iso_n3
Qatar,Asia,1,2258283,9830,11586,11016,6845,1.1206,634
Romania,Europe,1,21599736,84185,238391,166778,103631,1.9811,642
Russia,Europe,1,142355415,1283387,17098242,1736738,1079159,1.3532,643
Rwanda,Africa,1,12988423,4700,26338,14117,8772,3.0037,646
"Saint Helena, Ascension, and Tristan da Cunha",Africa,1,7795,198,308,230,143,1.1623,null
Saint Kitts and Nevis,North-America,1,52329,383,261,528,328,1.3782,null
Saint Lucia,North-America,1,164464,1210,616,951,591,0.7861,null
Saint Pierre and Miquelon,North-America,1,5595,117,242,161,100,1.3755,null
Saint Vincent and the Grenadines,North-America,1,102350,829,389,576,358,0.6950,null
Samoa,Oceania,1,198926,2337,2831,1207,750,0.5165,null
San Marino,Europe,1,33285,292,61,222,138,0.7606,null
Sao Tome and Principe,Africa,1,197541,320,964,546,339,1.7049,null
Saudi Arabia,Asia,1,28160273,221372,2149690,178597,110975,0.8068,682
Senegal,Africa,1,14320055,15000,196722,29908,18584,1.9939,686
Serbia,Europe,1,7143921,44248,77474,54108,33621,1.2228,688
Seychelles,Asia,1,93186,526,455,496,308,0.9424,null
Sierra Leone,Africa,1,6018888,11300,71740,30106,18707,2.6642,694
Singapore,Asia,1,5781728,3425,697,4773,2966,1.3937,null
Sint Maarten,North-America,1,41486,53,34,277,172,5.2228,null
Slovakia,Europe,1,5445802,54869,49035,48871,30367,0.8907,703
Slovenia,Europe,1,1978029,38985,20273,33204,20632,0.8517,705
Solomon Islands,Oceania,1,635027,1390,28896,1442,896,1.0374,090
Somalia,Africa,1,10817354,22100,637657,22489,13974,1.0176,706
South Africa,Africa,1,54300704,747014,1219090,333142,207005,0.4460,710
South Sudan,Africa,1,12530717,7000,644329,29797,18515,4.2567,728
Spain,Europe,1,48563476,683175,505370,529638,329102,0.7753,724
Sri Lanka,Asia,1,22235000,114093,65610,51670,32106,0.4529,144
Sudan,Africa,1,36729501,11900,1861484,63540,39482,5.3395,729
Suriname,South-America,1,585824,4304,163820,5834,3625,1.3555,740
Swaziland,Africa,1,1451428,3594,17364,7825,4862,2.1771,748
Sweden,Europe,1,9880604,579564,450295,290913,180765,0.5020,752
Switzerland,Europe,1,8179294,71464,41277,89999,55923,1.2594,756
Syria,Asia,1,17185170,69873,185180,85907,53380,1.2295,760
Taiwan,Asia,1,23464787,42520,35980,89302,55490,2.1002,158
Tajikistan,Asia,1,8330946,27767,143100,19840,12328,0.7145,762
Tanzania,Africa,1,52482726,86472,947300,108051,67140,1.2496,834
Thailand,Asia,1,68200824,180053,513120,264995,164660,1.4718,764
Timor-Leste,Asia,1,1261072,6040,14874,3523,2189,0.5833,626
Togo,Africa,1,7756937,11652,56785,17411,10819,1.4943,768
Trinidad and Tobago,North-America,1,1220479,9592,5128,10705,6652,1.1161,780
Tunisia,Africa,1,11134588,19418,163610,49637,30843,2.5562,788
Turkey,Asia,1,80274604,385754,783562,481232,299024,1.2475,792
Turkmenistan,Asia,1,5291317,58592,488100,24488,15216,0.4179,795
Turks and Caicos Islands,North-America,1,51430,121,948,692,430,5.7192,null
